Name	Index	Comments	Exclude	Sample Type	Baseline Value 	Peak Average 	AVE810_1050	SiConc	AVE810	AVE660_1050	AVE660	Calculated Concentration (uM)	Si [uM]	AVE880_1050	PO4Conc	AVE880	PO4 [uM]	Time Stamp	On File	Sequence Name
D1_PO4	96			Sample	1.17E-04	0.169						NaN		0.094364		0.169047	NaN	 12-05-2024  03:48:48 PM	Yes	Analysis_Phosphate_Manual
D1_PO4	95			Sample	2.37E-04	0.1703						NaN		0.092456		0.170295	NaN	 12-05-2024  03:46:17 PM	Yes	Analysis_Phosphate_Manual
D1_PO4	94			Sample	-7.35E-04	0.1644						NaN		0.087182		0.164357	NaN	 12-05-2024  03:43:46 PM	Yes	Analysis_Phosphate_Manual
A4_PO4	93			Sample	-2.60E-04	0.1686						NaN		0.09129		0.168583	NaN	 12-05-2024  03:40:13 PM	Yes	Analysis_Phosphate_Manual
A4_PO4	92			Sample	-2.61E-05	0.169						NaN		0.091483		0.169001	NaN	 12-05-2024  03:37:41 PM	Yes	Analysis_Phosphate_Manual
A4_PO4	91			Sample	3.57E-04	0.1647						NaN		0.087998		0.164655	NaN	 12-05-2024  03:35:10 PM	Yes	Analysis_Phosphate_Manual
D2_PO4	90			Sample	-2.77E-04	0.1654						NaN		0.092085		0.165405	NaN	 12-05-2024  03:31:52 PM	Yes	Analysis_Phosphate_Manual
D2_PO4	89			Sample	-4.69E-05	0.1691						NaN		0.092422		0.169061	NaN	 12-05-2024  03:29:21 PM	Yes	Analysis_Phosphate_Manual
D2_PO4	88			Sample	-0.001027	0.1639						NaN		0.0881		0.163858	NaN	 12-05-2024  03:26:50 PM	Yes	Analysis_Phosphate_Manual
B4_PO4	87			Sample	-3.42E-04	0.1645						NaN		0.090145		0.164475	NaN	 12-05-2024  03:23:38 PM	Yes	Analysis_Phosphate_Manual
B4_PO4	86			Sample	5.00E-04	0.1638						NaN		0.085276		0.163817	NaN	 12-05-2024  03:21:07 PM	Yes	Analysis_Phosphate_Manual
B4_PO4	85			Sample	-1.52E-05	0.1621						NaN		0.087522		0.162073	NaN	 12-05-2024  03:18:36 PM	Yes	Analysis_Phosphate_Manual
C3_PO4	84			Sample	3.80E-04	0.1321						NaN		0.087276		0.132052	NaN	 12-05-2024  03:15:55 PM	Yes	Analysis_Phosphate_Manual
C3_PO4	83			Sample	3.92E-05	0.1636						NaN		0.087593		0.163571	NaN	 12-05-2024  03:13:24 PM	Yes	Analysis_Phosphate_Manual
C3_PO4	82			Sample	-3.01E-04	0.1615						NaN		0.087026		0.161506	NaN	 12-05-2024  03:10:54 PM	Yes	Analysis_Phosphate_Manual
B3_PO4	81			Sample	4.29E-04	0.1671						NaN		0.090822		0.167061	NaN	 12-05-2024  03:07:43 PM	Yes	Analysis_Phosphate_Manual
B3_PO4	80			Sample	-4.52E-04	0.166						NaN		0.090492		0.166002	NaN	 12-05-2024  03:05:12 PM	Yes	Analysis_Phosphate_Manual
B3_PO4	79			Sample	-2.41E-04	0.1636						NaN		0.090483		0.163621	NaN	 12-05-2024  03:02:41 PM	Yes	Analysis_Phosphate_Manual
C4_PO4	78			Sample	7.44E-04	0.1658						NaN		0.088168		0.165849	NaN	 12-05-2024  03:00:03 PM	Yes	Analysis_Phosphate_Manual
C4_PO4	77			Sample	7.83E-04	0.1659						NaN		0.091081		0.16587	NaN	 12-05-2024  02:57:31 PM	Yes	Analysis_Phosphate_Manual
C4_PO4	76			Sample	5.01E-05	0.1645						NaN		0.089313		0.164503	NaN	 12-05-2024  02:55:00 PM	Yes	Analysis_Phosphate_Manual
B1_PO4	75			Sample	2.41E-04	0.1595						NaN		0.084584		0.159495	NaN	 12-05-2024  02:52:23 PM	Yes	Analysis_Phosphate_Manual
