Name	Index	Comments	Exclude	Sample Type	Baseline Value 	Peak Average 	AVE810_1050	SiConc	AVE810	AVE660_1050	AVE660	Calculated Concentration (uM)	Si [uM]	AVE880_1050	PO4Conc	AVE880	PO4 [uM]	Time Stamp	On File	Sequence Name
A4_PO4	97			Sample	7.1966E-4	0.1611						2.056		0.084936		0.161082	2.056479	 11-21-2024  03:38:30 PM	Yes	Analysis_Phosphate_Manual
A4_PO4	96			Sample	5.0866E-4	0.1594						2.067		0.085625		0.159447	2.067325	 11-21-2024  03:35:57 PM	Yes	Analysis_Phosphate_Manual
A4_PO4	95			Sample	2.9382E-4	0.1494						2.022		0.082728		0.149391	2.021577	 11-21-2024  03:33:24 PM	Yes	Analysis_Phosphate_Manual
B3_PO4	94			Sample	6.7442E-4	0.1557						2.07		0.085833		0.155662	2.070465	 11-21-2024  03:29:55 PM	Yes	Analysis_Phosphate_Manual
B3_PO4	93			Sample	5.0773E-4	0.1532						2.023		0.082851		0.153173	2.023479	 11-21-2024  03:27:23 PM	Yes	Analysis_Phosphate_Manual
B3_PO4	92			Sample	-7.5831E-5	0.1555						2.053		0.084697		0.155532	2.052700	 11-21-2024  03:24:50 PM	Yes	Analysis_Phosphate_Manual
D1_PO4	91			Sample	7.0683E-4	0.1575						2.13		0.089672		0.157472	2.130361	 11-21-2024  03:21:48 PM	Yes	Analysis_Phosphate_Manual
D1_PO4	90			Sample	0.001051	0.1511						2.134		0.089934		0.151076	2.134391	 11-21-2024  03:19:16 PM	Yes	Analysis_Phosphate_Manual
D1_PO4	89			Sample	1.9467E-4	0.157						2.112		0.088499		0.156960	2.112187	 11-21-2024  03:16:44 PM	Yes	Analysis_Phosphate_Manual
C1_PO4	88			Sample	7.8844E-4	0.1665						2.224		0.095789		0.166459	2.224371	 11-21-2024  03:13:56 PM	Yes	Analysis_Phosphate_Manual
C1_PO4	87			Sample	5.0574E-4	0.1433						1.974		0.079775		0.143344	1.974439	 11-21-2024  03:11:24 PM	Yes	Analysis_Phosphate_Manual
C1_PO4	86			Sample	-3.3266E-4	0.1291						1.919		0.076296		0.129081	1.918591	 11-21-2024  03:08:51 PM	Yes	Analysis_Phosphate_Manual
B1_PO4	85			Sample	-1.6553E-4	0.1437						2.009		0.081945		0.143727	2.009041	 11-21-2024  03:05:18 PM	Yes	Analysis_Phosphate_Manual
B1_PO4	84			Sample	-1.1376E-4	0.1523						2.126		0.089424		0.152344	2.126483	 11-21-2024  03:02:45 PM	Yes	Analysis_Phosphate_Manual
B1_PO4	83			Sample	3.5807E-4	0.1658						2.025		0.082916		0.165796	2.024588	 11-21-2024  03:00:12 PM	Yes	Analysis_Phosphate_Manual
D2_PO4	82			Sample	3.9861E-4	0.1606						2.155		0.091290		0.160553	2.155417	 11-21-2024  02:57:32 PM	Yes	Analysis_Phosphate_Manual
D2_PO4	81			Sample	2.7802E-4	0.1333						2.051		0.084622		0.133347	2.051440	 11-21-2024  02:55:00 PM	Yes	Analysis_Phosphate_Manual
