Name	Index	Comments	Exclude	Sample Type	Baseline Value 	Peak Average 	AVE810_1050	SiConc	AVE810	AVE660_1050	AVE660	Calculated Concentration (uM)	Si [uM]	AVE880_1050	PO4Conc	AVE880	PO4 [uM]	Time Stamp	On File	Sequence Name
D2_P	96			Sample	3.0259E-4	0.1784						2.168		0.084337		0.178395	2.168073	 10-31-2024  04:22:35 PM	Yes	Analysis_Phosphate_Manual
D2_P	95			Sample	4.1649E-4	0.1819						2.083		0.079055		0.181945	2.083156	 10-31-2024  04:20:01 PM	Yes	Analysis_Phosphate_Manual
D2_P	94			Sample	0.001026	0.1864						2.126		0.081682		0.186389	2.125553	 10-31-2024  04:17:27 PM	Yes	Analysis_Phosphate_Manual
C1_P	93			Sample	3.9163E-4	0.1767						1.984		0.072999		0.176693	1.984232	 10-31-2024  04:14:49 PM	Yes	Analysis_Phosphate_Manual
C1_P	92			Sample	7.3014E-4	0.18						1.873		0.066339		0.179997	1.872964	 10-31-2024  04:12:14 PM	Yes	Analysis_Phosphate_Manual
C1_P	91			Sample	-5.0576E-4	0.0481						1.629		0.052274		0.048102	1.628929	 10-31-2024  04:09:41 PM	Yes	Analysis_Phosphate_Manual
A3_P	90			Sample	9.7167E-4	0.1769						2.035		0.076075		0.176909	2.034841	 10-31-2024  04:06:31 PM	Yes	Analysis_Phosphate_Manual
A3_P	89			Sample	8.0417E-4	0.1901						2.077		0.078691		0.190062	2.077325	 10-31-2024  04:03:56 PM	Yes	Analysis_Phosphate_Manual
A3_P	88			Sample	4.0827E-4	0.1735						1.977		0.072537		0.173457	1.976628	 10-31-2024  04:01:22 PM	Yes	Analysis_Phosphate_Manual
C3_P	87			Sample	5.3416E-4	0.1808						2		0.073975		0.180835	2.000227	 10-31-2024  03:57:59 PM	Yes	Analysis_Phosphate_Manual
C3_P	86			Sample	9.3095E-4	0.1767						2.031		0.075817		0.176669	2.030589	 10-31-2024  03:55:25 PM	Yes	Analysis_Phosphate_Manual
C3_P	85			Sample	5.7269E-4	0.1639						1.878		0.066654		0.163922	1.878201	 10-31-2024  03:52:51 PM	Yes	Analysis_Phosphate_Manual
C4-P	84			Sample	4.8521E-4	0.174						2.055		0.077294		0.174003	2.054582	 10-31-2024  03:49:33 PM	Yes	Analysis_Phosphate_Manual
C4-P	83			Sample	5.0516E-4	0.1746						2.065		0.077910		0.174605	2.064666	 10-31-2024  03:46:58 PM	Yes	Analysis_Phosphate_Manual
C4-P	82			Sample	1.092E-4	0.1681						1.965		0.071851		0.168127	1.965200	 10-31-2024  03:44:26 PM	Yes	Analysis_Phosphate_Manual
A1_P	81			Sample	7.9089E-4	0.1834						2.036		0.076132		0.183440	2.035658	 10-31-2024  03:40:54 PM	Yes	Analysis_Phosphate_Manual
